Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01894,4.416354250495614,1660.1669845186902,4.207e-08
5.0,1.07356,4.657401542531391,1732.7191273121903,6.238e-08
5.5,1.12832,4.874503686897334,1797.2075728052519,7.979e-08
6.0,1.18139,5.078763151880413,1857.1674902512827,1.0662e-07
6.5,1.23266,5.273149124657245,1913.6080807084509,1.378e-07
7.0,1.28204,5.460048048422826,1967.321602014225,1.6952e-07
7.5,1.3307,5.636131359434884,2017.4451426111818,2.0208e-07
8.0,1.37772,5.806695119472752,2065.5641907835284,2.4444e-07
8.5,1.42331,5.971994857058546,2111.801837441079,2.8253e-07
