Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01738,4.423126068922134,2165.4657156284743,3.991e-08
5.0,1.07241,4.662395912011264,2256.747026196198,5.53e-08
5.5,1.12728,4.8790007806401245,2338.143024306188,7.746e-08
6.0,1.18047,5.082721288978119,2413.668543150404,1.0294e-07
6.5,1.22896,5.2890248665538335,2489.1750684108138,1.2988e-07
7.0,1.27805,5.477094010406479,2557.182675523512,1.6835e-07
7.5,1.31929,5.68487595600664,2631.436240977826,1.9337e-07
8.0,1.3658,5.857372968223752,2692.399786638365,2.2972e-07
8.5,1.41044,6.026488188083151,2751.587567179541,2.6639e-07
