Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01733,4.423343457875026,1606.1340154440568,4.111e-08
5.0,1.0729,4.660266567247647,1675.2203312066786,5.82e-08
5.5,1.12795,4.876102664125183,1737.3588008144707,7.948e-08
6.0,1.18047,5.082721288978119,1796.1557571578983,1.0461e-07
6.5,1.23176,5.27700201337923,1850.84826470711,1.3324e-07
7.0,1.28152,5.462263562020101,1902.4824603676961,1.6481e-07
7.5,1.32985,5.6397338045644245,1951.483352911781,2.0141e-07
8.0,1.37633,5.812559487913509,1998.779320591505,2.3974e-07
8.5,1.42187,5.978042999711647,2043.6852943462945,2.8444e-07
