Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
1.0,0.537258,1.8613031355512621,916.3055449972568,-1.6e-10
1.5,0.610146,2.458427982810672,1153.3960406455399,1.96e-09
2.0,0.685011,2.9196611441276126,1328.5056391506764,3.2e-09
2.5,0.757644,3.299702762775129,1468.1194924360893,7.31e-09
3.0,0.826628,3.6292020110618077,1586.0420120386434,3.84e-09
3.5,0.89201,3.9237228282194145,1689.1621832461637,6.95e-09
4.0,0.954419,4.19103140235054,1780.999301201337,2.57e-09
4.5,1.01414,4.437257183426351,1864.1924085213268,1.6e-10
5.0,1.07051,4.670670988594221,1941.874409684738,1.9e-10
