Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
1.0,0.473868,2.1102923176918464,976.4507877092223,8e-10
1.5,0.641274,2.3390937415207853,1063.260606783621,2.39e-09
2.0,0.725486,2.7567727013340027,1217.5818329034066,5.65e-09
2.5,0.802018,3.117137021862352,1346.749248772855,5.04e-09
3.0,0.873303,3.435233819189903,1457.9497696129765,8.41e-09
3.5,0.940338,3.7220658954546133,1556.1086340620136,6.46e-09
4.0,1.00365,3.9854530961988743,1644.5829324652955,6.99e-09
4.5,1.06426,4.228290079491853,1724.8174085327287,1.453e-08
5.0,1.12207,4.456049979056566,1798.9585335599418,1.276e-08
5.5,1.17753,4.670793950047982,1867.9182485205138,1.849e-08
6.0,1.23011,4.877612571233467,1933.4999045721925,2.175e-08
6.5,1.28142,5.07249769786643,1994.5762957694178,2.922e-08
7.0,1.32827,5.270012873888592,2055.7872482750345,3.481e-08
7.5,1.37082,5.4711778351643545,2117.4391385539057,4.058e-08
8.0,1.418,5.6417489421720735,2169.1860681459007,4.677e-08
8.5,1.46478,5.802919209710673,2217.6478790830056,5.785e-08
9.0,1.50993,5.9605412171425165,2264.6461621468884,7.017e-08
9.5,1.55435,6.1118795638048065,2309.4107484706724,7.838e-08
10.0,1.5976,6.259389083625439,2352.711189778586,9.116e-08
