Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.02868,4.374538243185441,1843.1251760274963,4.245e-08
5.0,1.08202,4.620986673074435,1925.4328958298051,5.612e-08
5.5,1.13595,4.841762401514151,1998.1131789190736,8.712e-08
6.0,1.18866,5.047700772298218,2065.0475452780356,1.0935e-07
6.5,1.23984,5.242611949929023,2127.6596724834294,1.3586e-07
7.0,1.28927,5.4294290567530465,2187.020465021884,1.6874e-07
7.5,1.33558,5.615537818775364,2245.5424061609087,2.0533e-07
8.0,1.36983,5.840140747392011,2315.37958060342,2.3411e-07
8.5,1.41738,5.996980344015014,2363.650329181833,2.7895e-07
