Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.04334,4.313071481971361,1752.5388732928554,1.917e-08
5.0,1.09757,4.555518099073408,1831.01194558495,1.789e-08
5.5,1.15386,4.766609467353058,1898.4008482767522,4.387e-08
6.0,1.20817,4.966188533070677,1961.344593263244,8.209e-08
6.5,1.2602,5.157911442628154,2021.130296175072,9.692e-08
7.0,1.31365,5.328664408327941,2073.8333397983642,3.711e-08
7.5,1.36344,5.500792114064425,2126.4577266453807,7.572e-08
8.0,1.41178,5.666605278442817,2176.687208027543,1.258e-08
8.5,1.45897,5.826027951225864,2224.5625283041454,2.2247e-07
