Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01551,4.431270986991758,2464.9575607029724,3.845e-08
5.0,1.07085,4.669188028201895,2566.480223568062,6.132e-08
5.5,1.12453,4.890932211679546,2659.5861183344095,7.859e-08
6.0,1.16445,5.152647172484865,2767.684985548112,9.692e-08
6.5,1.22245,5.317190887152849,2834.6981933611787,1.2782e-07
7.0,1.27304,5.498648903412304,2907.782717061705,1.4927e-07
7.5,1.3172,5.693896143334346,2985.495912758927,1.8997e-07
8.0,1.36717,5.851503470672996,3047.5508699621746,2.3071e-07
8.5,1.41292,6.015910313393539,3111.658844223725,2.6993e-07
