Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01143,4.449146258267996,1684.8672904503446,3.902e-08
5.0,1.06581,4.691267674350963,1758.1870644691899,5.874e-08
5.5,1.12078,4.9072967040810855,1822.746941591572,8.04e-08
6.0,1.1741,5.110297248956648,1882.7026971036248,9.873e-08
6.5,1.22517,5.305386191304064,1939.6948037223283,1.2945e-07
7.0,1.27505,5.489980785067252,1993.072994391429,1.64e-07
7.5,1.32529,5.659138754536743,2041.5329478448461,2.0194e-07
8.0,1.37246,5.828949477580403,2089.754513007437,2.3843e-07
8.5,1.41845,5.992456554689978,2135.793514732285,2.781e-07
