Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
1.0,0.00235271,425.04176035295467,19308.669441385304,-3e-10
1.25,0.739779,1.6896938139633595,350.37815427043716,9.04e-09
1.5,0.911666,1.6453394115827507,343.4476941223169,8.8e-09
1.75,0.970279,1.8036049424959213,368.11953535277553,4.19e-09
2.0,0.975138,2.0509917570641285,406.369242994387,8.26e-09
2.25,0.960596,2.342295824675514,450.9299593621475,6.81e-09
2.5,0.9346,2.6749411512946715,501.2020478956614,1.085e-08
2.75,0.918479,2.9940804307991797,548.8408622551243,1e-08
3.0,0.911098,3.2927303100215344,592.9143335929704,1.262e-08
3.25,0.914376,3.5543365092697097,631.1312065205987,2.232e-08
3.5,0.928866,3.7680354324520438,662.0867617227191,3.658e-08
3.75,0.94869,3.952819150618221,688.6676856392396,6.043e-08
4.0,0.970416,4.1219435788362935,712.8477280885668,8.061e-08
4.25,0.996853,4.2634169732147065,732.9674079572736,1.1267e-07
4.5,1.02054,4.409430301605033,753.6320550107766,1.4471e-07
4.75,1.0487,4.5294173738914845,770.5378080539915,1.7695e-07
5.0,1.07326,4.658703389672586,788.6785043195067,2.1747e-07
5.25,1.09975,4.773812230052284,804.7650422846278,2.5181e-07
5.5,1.12542,4.887064384851877,820.5331434143932,2.9796e-07
5.75,1.15152,4.993400027789356,835.2855998127485,3.3417e-07
6.0,1.17632,5.100652883569096,850.114187078591,3.7607e-07
6.25,1.20442,5.189219707411036,862.320950305397,4.1228e-07
6.5,1.22828,5.291952974891719,876.4371908522528,4.5033e-07
6.75,1.25094,5.395942251426927,890.6793981870201,4.8721e-07
7.0,1.27506,5.489937728420623,903.5128950968896,5.2009e-07
7.25,1.29907,5.580915578067387,915.8985624397624,5.5661e-07
7.5,1.32292,5.6692770537901005,927.8945907208966,5.8475e-07
7.75,1.34567,5.759212882801876,940.0707898714414,6.2358e-07
8.0,1.36881,5.844492661508902,951.5855933516185,6.4729e-07
8.25,1.39013,5.93469675497975,963.7326971392222,6.6853e-07
8.5,1.41433,6.009912820911668,973.8360474444913,6.9507e-07
8.75,1.436,6.093314763231198,985.0121265154328,7.1967e-07
9.0,1.45931,6.167298243690511,994.9026535458978,7.3825e-07
9.25,1.48011,6.249535507496065,1005.8709011411717,7.5655e-07
9.5,1.50107,6.32881877593983,1016.4197355246158,7.6674e-07
9.75,1.52297,6.401964582362095,1026.1299791574365,7.8111e-07
10.0,1.5435,6.4787819889860705,1036.3050719235043,8.037e-07
