Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.03304,4.356075272980717,2305.4687743106674,7.38e-09
5.0,1.0851,4.607870242373975,2408.4857945795493,1.11e-08
5.5,1.13793,4.833337727276722,2499.2209951668806,2.069e-08
6.0,1.18961,5.043669774127655,2582.637523225757,2.401e-08
6.5,1.23698,5.254733302074407,2665.2027896244977,3.304e-08
7.0,1.28496,5.447640393475283,2739.7042127266714,2.203e-08
7.5,1.33101,5.63481867153515,2811.1475071856294,1.637e-08
8.0,1.38792,5.764020981036371,2859.9912698529733,1.34e-08
