Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01669,4.42612792493287,1692.8396322741014,3.888e-08
5.0,1.0722,4.663309084126095,1765.3555318174344,5.746e-08
5.5,1.1275,4.878048780487805,1830.1532525947532,8.199e-08
6.0,1.1814,5.078720162519045,1889.9968719720491,1.085e-07
6.5,1.23338,5.270070862183593,1946.4442634923143,1.3444e-07
7.0,1.28193,5.460516564867036,2002.0457660385823,1.687e-07
7.5,1.33017,5.638377049550058,2053.466848808947,2.0229e-07
8.0,1.37839,5.803872634015047,2100.8862878825553,2.4367e-07
8.5,1.42286,5.973883586579143,2149.182286840672,2.9035e-07
