Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.021,4.407443682664055,1687.0837122355147,3.902e-08
5.0,1.07569,4.648179308164992,1760.759807594853,5.771e-08
5.5,1.13043,4.86540519979123,1826.3600462180966,8.192e-08
6.0,1.18373,5.068723442001132,1887.0315238848552,1.1112e-07
6.5,1.23582,5.259665647100711,1943.3899368587786,1.3405e-07
7.0,1.2859,5.443658138268916,1997.1467142491074,1.6891e-07
7.5,1.33384,5.622863311941463,2049.0007838795996,2.0714e-07
8.0,1.38041,5.795379633587123,2098.462631927332,2.4547e-07
8.5,1.42529,5.963698615720309,2146.3006933844817,2.8929e-07
