Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
3.5,0.976088,3.585742269139668,635.6951731918009,4.04e-08
3.75,0.937677,3.9992449425548457,695.3192720482729,7.664e-08
4.0,0.964989,4.145124970336449,716.1511125453559,9.675e-08
4.25,0.99313,4.279399474389053,735.234301606795,1.2666e-07
4.5,1.02116,4.406753104312742,753.2540742141548,1.6187e-07
4.75,1.04909,4.527733559561143,770.3010317032101,1.9528e-07
5.0,1.07672,4.643732818188573,786.5818815650613,2.3092e-07
5.25,1.10403,4.755305562348849,802.1828165572738,2.694e-07
5.5,1.1309,4.86338314616677,817.2408075806289,3.0847e-07
5.75,1.15735,4.968246425022681,831.8004954060045,3.4723e-07
6.0,1.18342,5.070051207517197,845.8884577845505,3.8301e-07
6.25,1.20906,5.169305079979488,859.5792120124576,4.1656e-07
6.5,1.2343,5.266142752977396,872.8950162497744,4.5702e-07
6.75,1.25909,5.361014701093647,885.9009785327665,4.916e-07
7.0,1.28355,5.453624712710841,898.5594419725562,5.2879e-07
7.25,1.30768,5.544169827480729,910.9002415787689,5.6479e-07
7.5,1.33151,5.6327027209709275,922.9332086715801,5.9395e-07
7.75,1.35487,5.720105988028371,934.7803427707764,6.2595e-07
8.0,1.37801,5.80547310977424,946.3207556033453,6.5242e-07
8.25,1.40076,5.8896598989120195,957.672096604598,6.6966e-07
8.5,1.42322,5.972372507412769,968.7963480694119,6.9571e-07
8.75,1.44536,6.053855094924448,979.7279319385444,7.1914e-07
9.0,1.4671,6.134551155340468,990.5275486867743,7.3779e-07
9.25,1.48869,6.2135165816926285,1001.0702586399505,7.5436e-07
9.5,1.51,6.291390728476821,1011.4429408280093,7.7237e-07
9.75,1.5311,6.367970739990857,1021.6198478295778,7.8674e-07
10.0,1.55196,6.443465037758705,1031.6299143104384,7.9393e-07
