Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,0.0148449,303.13440979730416,28842.178568473304,-2.85e-09
4.75,1.87682,2.530876695687386,1134.7625387468029,-9e-11
5.0,1.49663,3.340839085144625,1425.215173785663,1.81e-08
5.25,1.19124,4.407172358214969,1783.1360456730863,1.464e-08
5.5,1.16894,4.705117456841241,1878.857872244026,2.044e-08
5.75,1.18848,4.838112547119009,1921.0362680205008,1.506e-08
6.0,1.21139,4.952987889944609,1957.2039178866744,1.881e-08
6.25,1.23519,5.059950291048341,1990.6645808924513,2.699e-08
6.5,1.26238,5.1490042617912195,2018.3671801940172,2.451e-08
6.75,1.2859,5.249241776187884,2049.382163635799,2.394e-08
7.0,1.31009,5.343144364127656,2078.2795325250695,2.954e-08
7.25,1.33431,5.433519946639087,2105.9498930084683,3.651e-08
7.5,1.3582,5.522014430864379,2132.9117267140723,4.051e-08
7.75,1.38325,5.602747153442978,2157.395936819969,4.429e-08
8.0,1.4059,5.690305142613273,2183.830067548879,4.369e-08
8.25,1.42989,5.7696745903531035,2207.6855589152046,4.999e-08
8.5,1.45303,5.8498448070583535,2231.6802745802033,5.364e-08
