Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.02959,4.37067182082188,1771.2890250870387,1.747e-08
4.7,1.04696,4.489187743562314,1809.6587617730693,1.619e-08
4.9,1.06728,4.591110111685781,1842.4343555640735,1.849e-08
5.1000000000000005,1.08623,4.695138230393195,1875.679594292119,1.764e-08
5.300000000000001,1.1061,4.791610161829853,1906.3260599380592,2.695e-08
5.500000000000001,1.12613,4.883983199097796,1935.5073651580597,2.564e-08
5.700000000000001,1.13827,5.007599251495693,1974.3135233972853,2.621e-08
5.900000000000001,1.16082,5.0826140142313205,1997.7280659288617,3.191e-08
6.100000000000001,1.18191,5.161137480857257,2022.1307091408803,3.757e-08
6.300000000000002,1.20229,5.240000332698435,2046.53002998284,4.674e-08
6.500000000000002,1.22266,5.316277624196426,2070.0270374332526,4.408e-08
6.700000000000002,1.24205,5.394307797592691,2093.961202575672,4.826e-08
6.900000000000002,1.26168,5.4688986113753115,2116.7444306929046,5.258e-08
7.100000000000002,1.2788,5.55208007507038,2142.042382161698,6.224e-08
7.3000000000000025,1.29836,5.622477587109895,2163.3634796824786,5.732e-08
7.500000000000003,1.31814,5.689835677545634,2183.6886640395774,6.16e-08
7.700000000000003,1.33721,5.758257865256768,2204.260301498019,6.896e-08
7.900000000000003,1.35734,5.8202071699058475,2222.821613484554,7.997e-08
8.100000000000003,1.37685,5.8829937901732245,2241.5721744075477,7.749e-08
8.300000000000004,1.39573,5.94670889068803,2260.537214753198,9.179e-08
8.500000000000004,1.41401,6.011272904717791,2279.691044254098,9.565e-08
8.700000000000003,1.43273,6.072323466389342,2297.7439739383394,1.0832e-07
8.900000000000004,1.44981,6.138735420503378,2317.318260376952,1.1267e-07
9.100000000000005,1.46663,6.2047005720597594,2336.695452425346,1.1721e-07
