Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.03219,4.359662465243802,2306.9493202546164,4.76e-09
5.0,1.08505,4.608082576839776,2408.571904310782,6.92e-09
5.5,1.13865,4.830281473674966,2498.0002971714275,1.58e-09
6.0,1.19087,5.038333319337963,2580.535351172173,2.18e-09
6.5,1.24169,5.2348009567605445,2657.453148863823,6.9e-10
7.0,1.29142,5.420389958340431,2729.234366528891,2e-11
7.5,1.33947,5.5992295460144685,2797.626416978605,-1.96e-09
8.0,1.38619,5.7712146242578575,2862.6996769315633,-5.11e-09
8.5,1.43145,5.938034859757589,2925.185417503156,-5.93e-09
