Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.03302,4.356159609688099,1766.5713232201565,1.025e-08
4.75,1.06163,4.4742518579919555,1804.838635136262,1.251e-08
5.0,1.09111,4.582489391537059,1839.6699986783456,1.343e-08
5.25,1.12092,4.683652713842202,1872.0192350115185,1.432e-08
5.5,1.15047,4.780654862795205,1902.8546747912592,1.556e-08
5.75,1.18101,4.8687140667733555,1930.6946292386106,1.945e-08
6.0,1.20677,4.971949915891181,1963.1507886014565,1.839e-08
6.25,1.23329,5.067745623494879,1993.0951435211673,2.111e-08
6.5,1.25989,5.159180563382518,2021.523879578322,2.745e-08
6.75,1.28732,5.243451511667651,2047.5953202520695,3.092e-08
7.0,1.31281,5.332073948248413,2074.8805891663246,3.438e-08
7.25,1.33825,5.417522884363908,2101.062084036846,3.509e-08
7.5,1.36302,5.50248712418013,2126.9734764956193,4.097e-08
7.75,1.38722,5.586712994333992,2152.5416747030467,4.362e-08
8.0,1.41173,5.666805975646902,2176.7477337807127,4.932e-08
8.25,1.43491,5.749489515021849,2201.628205868867,5.226e-08
8.5,1.45896,5.8260678839721445,2224.5744697931837,5.934e-08
