Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.02211,4.402657248241383,1748.3625092523284,4.603e-08
5.0,1.0772,4.641663572224285,1824.0035050140073,6.171e-08
5.5,1.13188,4.85917235042584,1891.9123022961971,7.679e-08
6.0,1.18487,5.063846666722931,1955.0367192341655,1.0344e-07
6.5,1.23644,5.2570282423732655,2013.9491949110238,1.3756e-07
7.0,1.28632,5.44188071397475,2069.7343067425836,1.6676e-07
7.5,1.33423,5.621219729731755,2123.3231459905774,2.0746e-07
8.0,1.38294,5.784777358381419,2171.751930629714,2.4954e-07
8.5,1.42839,5.950755745979739,2220.4756086001403,2.9024e-07
